Date,Day,Meal Type,Item 1,Item 2,Item 3,Item 4,Item 5,Item 6,Item 7,Item 8,Item 9,Item 10,Item 11,Item 12,Item 13,Item 14,Item 15,Item 16,Item 17,Item 18,Item 19,Item 20,Item 21,Item 22,Item 23,Item 24
2025-03-01,Saturday,Breakfast,Missal Pav,Lemon Wedges,Pav,Banana,Tea,Coffee,,,,,,,,,,,,,,,,,,
2025-03-01,Saturday,Lunch,Cucumber Salad,Onion,Lemon,Bhindi Onion Dry,Veg Kofta Curry,Dal Palak,Rice,Chapati,Papad,Pickle,,,,,,,,,,,,,,
2025-03-01,Saturday,Snacks,Aloo Papdi Chaat,Green Chutney,Imli Chutney,Ketchup,Tea,Coffee,,,,,,,,,,,,,,,,,,
2025-03-01,Saturday,Dinner,Koshimibir Salad,Onion,Lemon,Sindhi Kadi,Onion Tadka Rice,Moong Dal Methi,Jeera Aloo,Chapati,Papad,Pickle,,,,,,,,,,,,,,
2025-03-02,Sunday,Brunch,Eggs To Order,Aloo Paratha,Curd,Tea,Coffee,Corn Flakes,Hot & Cold Milk,Jam,Butter,Kimchi Salad,Chicken Pahadi Masala,Paneer Lababdar,Dal Fry,Chapati,Papad,Pickle,Veg Hakka Noodles,,,,,,,
2025-03-02,Sunday,Snacks,Butter Corn,Ketchup,Tea,Coffee,,,,,,,,,,,,,,,,,,,,
2025-03-02,Sunday,Dinner,Tossed Salad,Onion,Lemon,Chawli Masaal,Mix Veg Dry,Varan,Steam Rice,Phulka,Papad,Pickle,Jalebi,,,,,,,,,,,,,
2025-03-03,Monday,Breakfast,Peanut Aloo Poha,Sabudana Khichdi,Lemon & Sev,Banana,Tea,Coffee,,,,,,,,,,,,,,,,,,
2025-03-03,Monday,Lunch,Beet Salad,Onion,Lemon,Matki Dry,Veg Makhanwala,Dal Lasooni,Rice,Chapati,Curd,Papad,Pickle,,,,,,,,,,,,,
2025-03-03,Monday,Snacks,Vada Pav,Green Chutney,Ketchup,Tea,Coffee,,,,,,,,,,,,,,,,,,,
2025-03-03,Monday,Dinner,Stick Salad,Onion,Lemon,Aloo Beans Dry,Mushroom Masala,Dal Makhani,Steam Rice,Chapati,Papad,Pickle,,,,,,,,,,,,,,
2025-03-04,Tuesday,Breakfast,Masala Uttapam,Sambhar,Coconut Chutney,Banana,Tea,Coffee,,,,,,,,,,,,,,,,,,
2025-03-04,Tuesday,Lunch,Mix Veg Salad,Onion,Lemon,Gobi Mutter,Rajma Masala Masala,Dal Fry,Steam Rice,Pulaka,Curd,Papad,Pickle,,,,,,,,,,,,,
2025-03-04,Tuesday,Snacks,Vermicelli Upma,Coconut Chutney,Ketchup,Tea,Coffee,,,,,,,,,,,,,,,,,,,
2025-03-04,Tuesday,Dinner,Koshimibir Salad,Onion,Lemon,Soya Dum,Veg Bhuna,Moong Dal,Steam Rice,Chapati,Papad,Pickle,,,,,,,,,,,,,,
2025-03-05,Wednesday,Breakfast,Bombay Sandwich,Masala Omelette,Bread (Brown/White Option),Butter,Jam,Tea,Coffee,,,,,,,,,,,,,,,,,
2025-03-05,Wednesday,Lunch,Sprouted Salad,Onion,Lemon,Baingan Masala,Aloo Matar,Dal Panchrathan,Rice,Chapati,Curd,Papad,Pickle,,,,,,,,,,,,,
2025-03-05,Wednesday,Snacks,Maggi,Ketchup,Tea,Coffee,,,,,,,,,,,,,,,,,,,,
2025-03-05,Wednesday,Dinner,Cucumber Carrot Salad,Onion,Lemon,Chicken Gavran,Paneer Gavran,Moong Dal,Steam Rice,Chapati,Papad,Pickle,Gulab Jamun,,,,,,,,,,,,,
2025-03-06,Thursday,Breakfast,Methi Thepla,Curd,Tea,Coffee,,,,,,,,,,,,,,,,,,,,
2025-03-06,Thursday,Lunch,Corn & Anar Salad,Onion,Lemon,Beans Poriyal,Sambhar,Aloo Rassa,Lemon Rice,Chapati,Curd,Papad,Pickle,,,,,,,,,,,,,
2025-03-06,Thursday,Snacks,Khaman Dhokla,Green Chutney,Imli Chutney,Ketchup,Tea,Coffee,,,,,,,,,,,,,,,,,,
2025-03-06,Thursday,Dinner,Koshimibir Salad,Onion,Lemon,Puri,Bhaji,Veg Masala Khichdi,Papad,Pickle,,,,,,,,,,,,,,,,
2025-03-07,Friday,Breakfast,Egg Bhurji,Paneer Bhaji,Tawa Paratha,Bread (Brown/White Option),Jam,Tea,Coffee,,,,,,,,,,,,,,,,,
2025-03-07,Friday,Lunch,Julienne Salad,Onion,Lemon,Dum Aloo Bengali,Bengali Cholar Dal,Bengali Rice,Chapati,Curd,Papad,Pickle,,,,,,,,,,,,,,
2025-03-07,Friday,Snacks,Masala Aloo Poha,Ketchup,Tea,Coffee,,,,,,,,,,,,,,,,,,,,
2025-03-07,Friday,Dinner,Carrot Salad,Onion,Lemon,Palak Kofta Green Gravy,Egg Curry,Dal Fry,Steam Rice,Chapati,Papad,Pickle,,,,,,,,,,,,,,
2025-03-08,Saturday,Breakfast,Idli,Sambhar,Coconut Chutney,Banana,Tea,Coffee,,,,,,,,,,,,,,,,,,
2025-03-08,Saturday,Lunch,Cucumber Salad,Onion,Lemon,Louki Chana Dry,Aloo Mutter Rassa,Masoor Ki Dal,Rice,Chapati,Curd,Papad,Pickle,,,,,,,,,,,,,
2025-03-08,Saturday,Snacks,Soy Manchurian Dry,Sezwan Chutney,Ketchup,Tea,Coffee,,,,,,,,,,,,,,,,,,,
2025-03-08,Saturday,Dinner,Mixed Salad,Onion,Lemon,Cabbage Channa Dry,Veg Maharaja,Dal Tadka,Steam Rice,Chapati,Papad,Pickle,,,,,,,,,,,,,,
2025-03-09,Sunday,Breakfast,Eggs To Order,Dosa,Tea,Coffee,Corn Flakes,Hot & Cold Milk,Bread (Brown/White Option),Jam,Butter,Veg Hakka Noodles,Chicken Biryani,Paneer Tikka Biryani,Pickle,Papad,Raita,,,,,,,,,
2025-03-09,Sunday,Snacks,Bambaya Murmura Bhel,Green Chutney,Imli Chutney,Ketchup,Tea,Coffee,,,,,,,,,,,,,,,,,,
2025-03-09,Sunday,Dinner,Greek Salad,Onion,Lemon,Aloo Sabji Khatri Dry,Chapati,Papad,Pickle,,,,,,,,,,,,,,,,,
2025-03-10,Monday,Breakfast,Peanut Aloo Poha,Lemon & Sev,Curd/Sugar,Banana,Tea,Coffee,,,,,,,,,,,,,,,,,,
2025-03-10,Monday,Lunch,Cucumber Salad,Onion,Lemon,Tendli Masala,Kala Channa Rassa,Masoor Ki Dal,Steam Rice,Chapati,Curd,Papad,Pickle,,,,,,,,,,,,,
2025-03-10,Monday,Snacks,Onion Bhaji,Green Chutney,Ketchup,Tea,Coffee,,,,,,,,,,,,,,,,,,,
2025-03-10,Monday,Dinner,Cucumber Salad,Onion,Lemon,Aloo Palak Lassoni Dry,Boiled Macroni Salad or Macroni (Maggi Masala Indian Style) Maggi Masala Indian Style,Dhabewali Dal,Chapati,Papad,Pickle,Vermicelli Kheer,,,,,,,,,,,,,,
2025-03-11,Tuesday,Breakfast,Meduwada,Sambhar,Coconut Chutney,Banana,Tea,Coffee,,,,,,,,,,,,,,,,,,
2025-03-11,Tuesday,Lunch,Cucumber Salad,Onion,Lemon,Dum Aloo,Maharashtrian Kadhi,Steam Rice,Chapati,Curd,Papad,Pickle,,,,,,,,,,,,,,
2025-03-11,Tuesday,Snacks,Mix Veg Maggie,Green Chutney,Ketchup,Tea,Coffee,,,,,,,,,,,,,,,,,,,
2025-03-11,Tuesday,Dinner,Pav Bhaji,Tawa Pulao,Pav,Dahi Vada,Papad,Pickle,,,,,,,,,,,,,,,,,,
2025-03-12,Wednesday,Breakfast,Coleslaw Sandwich,Masala Omelette,Bread (Brown/White Option),Butter,Jam,Banana,Tea,Coffee,,,,,,,,,,,,,,,,
2025-03-12,Wednesday,Lunch,Mix Veg Salad,Onion,Lemon,Puri,Bhaji,Veg Masala Khichdi,Pineapple Sheera,Curd,Papad,Pickle,,,,,,,,,,,,,,
2025-03-12,Wednesday,Snacks,Vermicelli Upma,Coconut Chutney,Tea,Coffee,,,,,,,,,,,,,,,,,,,,
2025-03-12,Wednesday,Dinner,Tossed Salad,Onion,Lemon,Chicken Biryani,Veg Paneer Biryani,Mirchi Ka Salan,Dal Fry,Chapati,Papad,Pickle,Jalebi,,,,,,,,,,,,,
2025-03-13,Thursday,Breakfast,Masala Uttapam,Sambhar,Coconut Chutney,Banana,Tea,Coffee,,,,,,,,,,,,,,,,,,
2025-03-13,Thursday,Lunch,Beetroot Salad,Onion,Lemon,Aloo Mutter Dry,Gatte Ki Sabji,Moong Masur Dal Tarka,Rice,Chapati,Curd,Papad,Pickle,,,,,,,,,,,,,
2025-03-13,Thursday,Snacks,Khaman Dhokla,Green Chutney,Tea,Coffee,,,,,,,,,,,,,,,,,,,,
2025-03-13,Thursday,Dinner,Soya Kheema,Veg Lasagne,Steam Rice,Dum Rice,Dal Adraki,Chapati,Papad,Pickle,,,,,,,,,,,,,,,,
2025-03-14,Friday,Breakfast,Besan Chilla,Eggs Fry,Bread (Brown/White Option),Butter,Jam,Tea,Coffee,,,,,,,,,,,,,,,,,
2025-03-14,Friday,Lunch,Sprouted Salad,Onion,Lemon,Turai Moong Dry,Rajma Masala Masala,Dal Palak,Rice,Chapati,Pomegranate Curd,Papad,Pickle,,,,,,,,,,,,,
2025-03-14,Friday,Snacks,Sabudana Wada,Curd Chutney,Tea,Coffee,,,,,,,,,,,,,,,,,,,,
2025-03-14,Friday,Dinner,Mix Veg Salad,Onion,Lemon,Chicken Kalimiri,Paneer Tikka Masala,Dal Kolhapuri,Dum Rice,Chapati,Papad,Pickle,,,,,,,,,,,,,,
2025-03-15,Saturday,Breakfast,Missi Roti,Jeera Aloo,Green Chilly Thecha,Tea,Coffee,,,,,,,,,,,,,,,,,,,
2025-03-15,Saturday,Lunch,Greek Salad,Onion,Lemon,Chole,Bhatura,Masala Pulao,Boondi Raita,Papad,Pickle,,,,,,,,,,,,,,,
2025-03-15,Saturday,Snacks,Chutney Sandwich,Green Chutney,Ketchup,Tea,Coffee,,,,,,,,,,,,,,,,,,,
2025-03-15,Saturday,Dinner,Veg Keema Masala,Bhindi Kurkura,Tadka Rice,Dal Adraki,Chapati,Papad,Pickle,,,,,,,,,,,,,,,,,
2025-03-16,Sunday,Brunch,Tea,Coffee,Imli Chutney,Butter,Jam,Milk,Corn Flakes,Eggs To Order,Aloo paratha,Paneer Mutter Masala,Angara Murg Masala,Moong Dal,Steam Rice,Chapati,Pickle,,,,,,,,,
2025-03-16,Sunday,Snacks,Bombay Murmura Bhel,Green chutney,Gobi Mutter dry,Chopped Onion,Chopped Tomato,Tea,Coffee,,,,,,,,,,,,,,,,,
2025-03-16,Sunday,Dinner,Lachha Onion,Chawali masala,Misal,Dal fry,Steam Rice,Chapati,Pickle,Milk,,,,,,,,,,,,,,,,
2025-03-17,Monday,Breakfast,Tea,Coffee,Aloo mutter,Pav,Onion,Lemon,Farsan,,,,,,,,,,,,,,,,,
2025-03-17,Monday,Lunch,Green salad,Gawar ki sabji,Tea,Green Dal Moog,Tadka Rice,Chapati,Papad,Pickle,,,,,,,,,,,,,,,,
2025-03-17,Monday,Snacks,Sabudana Wada,Peanut Curd Chutney,Veg Kolhapuri,Coffee,Poha,Sev,,,,,,,,,,,,,,,,,,
2025-03-17,Monday,Dinner,Mix veg salad,Cabbage channa dry,Coconut chutney,Dal Tadka,Jeera Rice,Chapati,Pickle,Milk,,,,,,,,,,,,,,,,
2025-03-18,Tuesday,Breakfast,Idli,Sambar,Rajma Masala,Tea,Coffee,,,,,,,,,,,,,,,,,,,
2025-03-18,Tuesday,Lunch,Cucumber Salad,Methi moong dal,Tomato Ketchup,Mint Rice,Dal Tadka,Chapati,Curd,Papad,Pickle,,,,,,,,,,,,,,,
2025-03-18,Tuesday,Snacks,Bread Pakoda,Mint Chutney,Beans Aloo Dry,Tea,Coffee,,,,,,,,,,,,,,,,,,,
2025-03-18,Tuesday,Dinner,Mix Veg Salad,Mix Veg Maratha,Coconut chutney,Dal Triveni,Tomato Rice,Chapati,Pickle,Milk,,,,,,,,,,,,,,,,
2025-03-19,Wednesday,Breakfast,Tea,Coffee,Aloo Gobi,Masala Omelette,Bread,Butter,Jam,Tomato Chutney,,,,,,,,,,,,,,,,
2025-03-19,Wednesday,Lunch,Cucumber Salad,Mashroom Mutter Masala,Coffee,Dal Tadka,Jeera Rice,Chapati,Butter Milk,Papad,Pickle,,,,,,,,,,,,,,,
2025-03-19,Wednesday,Snacks,Maggi,Tea,Coffee,Tomato Ketchup,,,,,,,,,,,,,,,,,,,,
2025-03-19,Wednesday,Dinner,Lachha Onion,Paneer Masala,Chicken Masala,Plain Moong Dal,Dum Rice,Paratha,Pickle,Milk,,,,,,,,,,,,,,,,
2025-03-20,Thursday,Breakfast,Tea,Coffee,Methi Paratha,Curd,Pickle,,,,,,,,,,,,,,,,,,,
2025-03-20,Thursday,Lunch,Sprouted salad,Dum Aloo Punjabi,Doodhi Chana Dal,Dal Palak,Steam Rice,Chapati,Papad,Pickle,,,,,,,,,,,,,,,,
2025-03-20,Thursday,Snacks,Khaman Dhokla,Green Chutney,Imli Chutney,Tea,Coffee,,,,,,,,,,,,,,,,,,,
2025-03-20,Thursday,Dinner,Koshibir Salad,Puri,Bhaji,Phodani Bhaat,Papad,Pickle,Milk,Sheera,Spring Roll,Paneer Chilli,Chicken Wing,,,,,,,,,,,,,
2025-03-21,Friday,Breakfast,Tea,Coffee,Turai Moong Dry,Masala Omelette,Bread,Butter,Jam,Tomato Ketchup,,,,,,,,,,,,,,,,
2025-03-21,Friday,Lunch,Mix veg salad,Methi Mutter Malai,Tea,Triveni Dal,Steam Rice,Phulka,Curd,Papad,Pickle,Aloo Bhaji,,,,,,,,,,,,,,
2025-03-21,Friday,Snacks,Vermicelli Upma,Coconut chutney,Angara Murg Masala,Coffee,,,,,,,,,,,,,,,,,,,,
2025-03-21,Friday,Dinner,Lachha Onion,Paneer Mutter Masala,Masala Uttapam,Moong Dal,Steam Rice,Chapati,Pickle,Milk,,,,,,,,,,,,,,,,
2025-03-22,Saturday,Breakfast,Tea,Coffee,Masala Uttampam,Sambar,Coconut chutney,,,,,,,,,,,,,,,,,,,
2025-03-22,Saturday,Lunch,Cucumber Salad,Baigan Bharta,Chole masala,Palak Dal,Carrot Rice,Chapati,Boondi Raita,Papad,Pickle,,,,,,,,,,,,,,,
2025-03-22,Saturday,Snacks,Vada Pav,,,Tea,Coffee,,,,,,,,,,,,,,,,,,,
2025-03-22,Saturday,Dinner,Toss Salad,Veg Kurma,Corn Flakes,Dal Lasooni,Jeera Rice,Chapati,Pickle,Milk,,,,,,,,,,,,,,,,
2025-03-23,Sunday,Brunch,Tea,Coffee,Coffee,Bread,Butter,Jam,Milk,Eggs To Order,Veg Hakka Noodles,Chicken Fried Rice,Veg Fried Rice,Hot Garlic Soup,,,,,,,,,,,,
2025-03-23,Sunday,Snacks,Masala Poha,Tea,Capsicum Aloo Dry,,,,,,,,,,,,,,,,,,,,,
2025-03-23,Sunday,Dinner,Tandoori Salad,Chawali Masala,Medu Wada,Dal Triveni,Steam Rice,Phulka,Milk,,,,,,,,,,,,,,,,,
2025-03-24,Monday,Breakfast,Tea,Coffee,Medu Wada,Sambar,Coconut chutney,,,,,,,,,,,,,,,,,,,
2025-03-24,Monday,Lunch,Cucumber Salad,Dum Aloo,Coffee,Pakoda,Dal Fry,Steam Rice,Chapati,Papad,Pickle,Aloo Mutter,,,,,,,,,,,,,,
2025-03-24,Monday,Snacks,Butter Corn,Tea,Poha,Sev,,,,,,,,,,,,,,,,,,,,
2025-03-24,Monday,Dinner,Mix Salad,Karela Pyaz Sabji,Aloo Mutter,Dal Tadka,Jeera Rice,Chapati,Pickle,Milk,,,,,,,,,,,,,,,,
2025-03-25,Tuesday,Breakfast,Tea,Coffee,Veg Poha,Veg Upma,Coconut chutney,Sev,Lemon,,,,,,,,,,,,,,,,,
2025-03-25,Tuesday,Lunch,Lachha Onion,Chole,Coffee,Masala Pulao,Boondi Raita,Papad,Pickle,,,,,,,,,,,,,,,,,
2025-03-25,Tuesday,Snacks,Maggi,Tomato Ketchup,Coffee,Tea,,,,,,,,,,,,,,,,,,,,
2025-03-25,Tuesday,Dinner,Green Salad,Gobi Aloo Dry,Corn Palak,Dal Makhani,Steam Rice,Phulka,Pickle,Milk,,,,,,,,,,,,,,,,
2025-03-26,Wednesday,Breakfast,Tea,Coffee,Tomato Omlette,Masala Omelette,Bread,Butter,Jam,Tomato Chutney,,,,,,,,,,,,,,,,
2025-03-26,Wednesday,Lunch,Cube Salad,Cabbage Channa,Tea,Dal Tadka,Jeera Rice,Chapati,Butter Milk,Papad,Pickle,Rajma Masala,,,,,,,,,,,,,,
2025-03-26,Wednesday,Snacks,Dabeli,Imli Chutney,Tea,Coffee,,,,,,,,,,,,,,,,,,,,
2025-03-26,Wednesday,Dinner,Green Salad,Paneer Mutter Masala,Missi Roti,Plain Moong Dal,Steam Rice,Chapati,Pickle,Milk,Chicken Kolhapuri,,,,,,,,,,,,,,,
2025-03-27,Thursday,Breakfast,Tea,Coffee,Missi Roti,Jeera Aloo,Curd,Pickle,,,,,,,,,,,,,,,,,,
2025-03-27,Thursday,Lunch,Green Salad,Baigan Masala,Sev Tamatar Ki Sabji,Triveni Dal,Steam Rice,Chapati,Papad,Pickle,,,,,,,,,,,,,,,,
2025-03-27,Thursday,Snacks,Sabudana Wada,Curd Chutney,Tea,Coffee,,,,,,,,,,,,,,,,,,,,
2025-03-27,Thursday,Dinner,Green Salad,Bhindi Kurkuri,Dahi Kadhi,Dal Tadka,Steam Rice,Chapati,Pickle,Milk,,,,,,,,,,,,,,,,
2025-03-28,Friday,Breakfast,Tea,Coffee,Paneer Bhurji,Egg Bhurji,Tawa Paratha,Bread,Butter,Jam,,,,,,,,,,,,,,,,
2025-03-28,Friday,Lunch,Green Salad,Dum Aloo Punjabi,Dahi kadhi pakaoda,Steam Rice,Dal Fry,Chapati,Papad,Pickle,,,,,,,,,,,,,,,,
2025-03-28,Friday,Snacks,Channa Chaat,Tea,Coffee,,,,,,,,,,,,,,,,,,,,,
2025-03-28,Friday,Dinner,Toss Salad,Nargisi Kofta Curry,Louki Chana Dry,Moong Dal,Jeera Rice,Chapati,Pickle,Milk,Malvani Egg Curry,,,,,,,,,,,,,,,
2025-03-29,Saturday,Breakfast,Tea,Coffee,Dalia Upma,Coconut Chutney,Peanut Aloo Poha,Banana,Lemon,Sev,,,,,,,,,,,,,,,,
2025-03-29,Saturday,Lunch,Mix Veg Salad,Punjabi Chole,Aloo Capsicum Dry,Plain Masoor Dal,Coriander Rice,Paratha,Papad,Pickle,Butter Chicken,,,,,,,,,,,,,,,
2025-03-29,Saturday,Snacks,Dabeli,Tea,,Imli Chutney,Coffee,,,,,,,,,,,,,,,,,,,
2025-03-29,Saturday,Dinner,Koshibir Salad,Bhindi Onion Dry,,Varan,Masala Bhat,Chapati,Pickle,Milk,,,,,,,,,,,,,,,,
2025-03-30,Sunday,Brunch,Tea,Coffee,Imli Chutney,Butter,Jam,Milk,Corn Flakes,Eggs To Order,Vegetarian Pasta,Khimchi Salad,Chicken Pehadi Masala,Paneer Lababdar,Dal Fry,Chapati,Steam Rice,Papad,Pickle,White Sauce Pasta,Red Sauce Pasta,Bread,,,,
2025-03-30,Sunday,Snacks,Bombay Murmura Bhel,Green Chutney,Soy Manchurian Dry,Chopped Tomato,Chopped Onion,Tea,Coffee,,,,,,,,,,,,,,,,,
2025-03-30,Sunday,Dinner,Toss Salad,Whole Masoor Masala,Tea,Dal Tadka,Steam Rice,Chapati,Pickle,Milk,Gulab Jamun,Sabudana Khichdi,,,,,,,,,,,,,,
2025-03-31,Monday,Breakfast,Missi Roti,Jeera Aloo,Bhindi Onion Dry,Coffee,,,,,,,,,,,,,,,,,,,,
2025-03-31,Monday,Lunch,Toss Salad,Rajma Masala,Lemon,Dal Tadka,Rice,Chapati,Butter Milk,Papad,Pickle,,,,,,,,,,,,,,,
2025-03-31,Monday,Snacks,Masala Poha,Sev,Pav,Tea,Coffee,,,,,,,,,,,,,,,,,,,
2025-03-31,Monday,Dinner,Onion,Lemon,,Dosa Bhaji,Tawa Pulao,Dahi Wada,Pickle,Vermicelli Kheer,,,,,,,,,,,,,,,,
